ICR_ID,PLANT NAME,FACILITY_NAME,LOCATION_ADDRESS,CITY,STATE COUNTY_NAME,ZIPCODE
AK5A0040 AK5A0050,Crude Oil Topping Plant,BP Exploration (Alaska) Inc. Prudhoe Bay,Oilfield,Prudhoe Bay North Slope Borough,AK North Slope Borough AK,99734 99734
AK5A0060,Kuparuk Plant Petro Star North Pole Refinery,ConocoPhillips Kuparuk Plant Petro Star Inc. - North Pole,Kuparuk Oilfield 1200 H & H LN.,NORTH POLE,North Slope Borough AK Fairbanks North Star Borough,997051239
AK5A0070,Petro Star Valdez Refinery,PETRO STAR VALDEZ REFY,2.5 MILE DAYVILLE RD.,VALDEZ,AK Valdez-Cordova Census Area,996863389
AK5A0080 AK5A0090,"Tesoro Alaska Company, Kenai Refinery Flint Hills Resources Alaska LLC",Tesoro Alaska Petroleum Company Kenai Refinery FLINT HILLS RESOURCES ALASKA LLC.,54741 TESORO ROAD 1100,KENAI NORTH POLE,AK Kenai Peninsula Borough AK Fairbanks North Star Borough,99611 99705
AL3C0030,Mobile Site,Shell Chemical Company,H&H LANE 400,SARALAND,AL Mobile County,36571
AL3D0010,"Goodway Refining, LLC",Goodway Refining LLC,INDUSTRIAL PKWY 4745 Ross Road,Atmore,AL Escambia County,36502
AL3D0020,Hunt Refining Company,HUNT REFINING CO A CORPORATION,1855 FAIRLAWN RD,TUSCALOOSA,AL Tuscaloosa County,35401
AR3D0100,"Martin Operating Partnership,LP","Cross Oil Refining & Marketing, Inc.",484 East 6th Street,Smackover,AR Union County,71762
AR3D0110,Lion Oil Company,LION OIL COMPANY,1000 MCHENRY DRIVE,EL DORADO,AR Union County,71730
CA5A0120 BP,"West Coast Products LLC, Refinery",BP CARSON REFINERY,1801 E SEPULVEDA BLVD,CARSON,CA Los Angeles County Los Angeles County,90745
CA5A0130 El,Segundo Refinery Refinery,CHEVRON USA PRODUCTS CO.,324W EL SEGUNDO BLVD,EL SEGUNDO,CA Contra Costa County,90245
CA5A0140 CA5A0150,"Chevron Products Co, Richmond Alon Bakersfield Refining",CHEVRON PRODUCTS CO. RICHMOND REFINERY Big West Oil LLC (prev. Shell Oil Products US),841 CHEVRON WAY 6451 ROSEDALE HWY (AREA 1 & 2),RICHMOND BAKERSFIELD,CA CA Kern County,94801 93308
CA5A0160,Shell Oil Products US,SHELL OIL PRODUCTS US - MARTINEZ REFINERY,3485 PACHECO BLVD,MARTINEZ,CA Contra Costa County,94553-0000
CA5A0170,Wilmington-LA Refinery,Shell Oil Products US - Wilmington EDGINGTON OIL COMPANY,2101 E PACIFIC COAST HWY 2400 E ARTESIA BLVD,WILMINGTON LONG BEACH,CA Los Angeles County CA Los Angeles County,90744 90805
CA5A0180 CA5A0190,Edgington Oil Company Torrance Refinery,MOBIL OIL CORP,3700 WEST 190TH ST,TORRANCE,CA Los Angeles County,905092929
CA5A0200,Santa Maria Refining,Greka Energy,1660 SINTON ROAD,SANTA MARIA,CA Santa Barbara County,93454
CA5A0210,Company Valero Wilmington Asphalt Plant,VALERO WILMINGTON ASPHALT PLANT,1651 ALAMEDA ST,WILMINGTON,CA Los Angeles County,90744
CA5A0220,Kern Oil & Refining Company,KERN OIL & REFINING COMPANY,7724 EAST PANAMA LANE,BAKERSFIELD,CA Kern County,93307
CA5A0230,Paramount Petroleum,PARAMOUNT PETROLEUM CORP,14700 DOWNEY AVE,PARAMOUNT,CA Los Angeles County Kern County,90723 93308
CA5A0240,"Corporation San Joaquin Refining Company, Inc.",SAN JOAQUIN REFINING COMPANY INCORPORATED,3542 SHELL ST,BAKERSFIELD,CA,
CA5A0260 CA5A0270,ConocoPhillips Los Angeles Refinery Carson Los Angeles Refinery Wilmington,CONOCOPHILLIPS CARSON PLANT UNION OIL CO LOS ANG REFINERY,1520 E SEPULVEDA BLVD 1660W ANAHEIM ST,CARSON WILMINGTON,CA Los Angeles County CA Los Angeles County,90745 90744
CA5A0280,ConocoPhillips San Francisco Refinery at Rodeo,CONOCOPHILLIPS SAN FRANCISCO AREA REFINERY AT RODEO,1380 SAN PABLO AVE,RODEO,CA Contra Costa County San Luis Obispo County,94572
